timestamp,zone_id,demand_units,festival_multiplier,precip_mm,traffic_index,salary_week_flag,temperature_c,is_fraud
2024-01-01 00:00:00,zone_000,42,1.0,1.5,0.83,2,33.3,0
2024-01-01 01:00:00,zone_000,30,1.0,1.9,0.29,2,27.0,0
2024-01-01 02:00:00,zone_000,45,1.0,2.2,0.74,0,25.2,0
2024-01-01 03:00:00,zone_000,70,1.0,0.2,0.12,0,26.2,0
2024-01-01 04:00:00,zone_000,29,1.0,0.3,0.82,0,28.7,0
2024-01-01 05:00:00,zone_000,29,1.0,2.0,0.58,2,24.6,0
2024-01-01 06:00:00,zone_000,72,1.0,1.0,0.78,0,33.9,0
2024-01-01 07:00:00,zone_000,48,1.0,0.8,0.3,2,36.9,0
2024-01-01 08:00:00,zone_000,26,1.0,0.9,0.4,0,40.0,0
2024-01-01 09:00:00,zone_000,43,1.0,0.7,0.18,0,26.0,0
2024-01-01 10:00:00,zone_000,26,1.0,1.3,0.16,0,36.8,0
2024-01-01 11:00:00,zone_000,26,1.0,0.6,0.76,1,37.1,0
2024-01-01 12:00:00,zone_000,37,1.0,1.5,0.34,2,30.1,0
2024-01-01 13:00:00,zone_000,12,1.0,0.3,0.38,0,26.8,0
2024-01-01 14:00:00,zone_000,13,1.0,2.1,0.52,0,30.5,0
2024-01-01 15:00:00,zone_000,24,1.0,2.3,0.64,0,36.8,0
2024-01-01 16:00:00,zone_000,19,1.0,1.3,0.14,0,31.1,0
2024-01-01 17:00:00,zone_000,38,1.0,0.7,0.56,0,29.2,0
2024-01-01 18:00:00,zone_000,21,1.0,0.0,0.59,0,34.6,0
2024-01-01 19:00:00,zone_000,16,1.0,0.2,0.78,1,29.0,0
2024-01-01 20:00:00,zone_000,68,1.0,0.1,0.22,2,30.6,0
2024-01-01 21:00:00,zone_000,29,1.0,0.0,0.46,0,28.8,0
2024-01-01 22:00:00,zone_000,34,1.0,1.9,0.48,0,31.8,0
2024-01-01 23:00:00,zone_000,16,1.0,4.7,0.78,0,32.1,0
2024-01-02 00:00:00,zone_000,25,1.0,0.0,0.39,0,29.4,0
2024-01-02 01:00:00,zone_000,35,1.0,0.2,0.16,0,32.8,1
2024-01-02 02:00:00,zone_000,18,1.0,3.0,0.58,0,31.5,1
2024-01-02 03:00:00,zone_000,39,1.0,1.7,0.63,0,41.3,0
2024-01-02 04:00:00,zone_000,24,1.0,0.8,0.57,0,33.7,0
2024-01-02 05:00:00,zone_000,28,1.0,7.4,0.49,0,31.3,0
2024-01-02 06:00:00,zone_000,24,1.0,1.3,0.27,0,32.0,0
2024-01-02 07:00:00,zone_000,83,1.0,1.7,0.53,0,32.2,0
2024-01-02 08:00:00,zone_000,32,1.0,1.6,0.13,0,33.0,0
2024-01-02 09:00:00,zone_000,19,1.0,0.4,0.55,1,31.5,0
2024-01-02 10:00:00,zone_000,49,1.0,1.0,0.49,0,27.8,0
2024-01-02 11:00:00,zone_000,17,1.0,0.4,0.86,0,37.9,0
2024-01-02 12:00:00,zone_000,36,1.0,1.1,0.36,0,37.5,0
2024-01-02 13:00:00,zone_000,12,1.0,0.0,0.12,0,39.2,0
2024-01-02 14:00:00,zone_000,17,1.0,0.7,0.71,0,33.9,0
2024-01-02 15:00:00,zone_000,36,1.0,0.7,0.23,0,34.1,1
2024-01-02 16:00:00,zone_000,47,1.0,0.5,0.54,1,33.6,0
2024-01-02 17:00:00,zone_000,36,1.0,0.1,0.27,0,25.3,0
2024-01-02 18:00:00,zone_000,31,1.0,2.2,0.53,0,25.5,0
2024-01-02 19:00:00,zone_000,28,1.0,0.8,0.56,0,37.1,0
2024-01-02 20:00:00,zone_000,15,1.0,2.5,0.63,1,30.2,0
2024-01-02 21:00:00,zone_000,23,1.0,2.7,0.4,0,28.9,0
2024-01-02 22:00:00,zone_000,26,1.0,0.4,0.15,0,30.8,1
2024-01-02 23:00:00,zone_000,56,1.0,0.8,0.58,0,31.2,0
2024-01-03 00:00:00,zone_000,39,1.0,1.9,0.79,2,33.3,0
2024-01-03 01:00:00,zone_000,13,1.0,1.0,0.52,0,29.7,0
